module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.10.mlp.down_proj.weight,0.3356857895851135,0.05517578125,0.166015625,0.166015625,0.33200523257255554,0.33265310525894165,0,0,0,0,0
model.layers.10.mlp.gate_proj.weight,0.29122453927993774,0.0224609375,0.0908203125,0.0908203125,0.32133182883262634,0.3215964734554291,0,0,0,0,0
model.layers.10.mlp.up_proj.weight,0.2910356819629669,0.02099609375,0.08349609375,0.08203125,0.322341650724411,0.3225805163383484,0,0,0,0,0
model.layers.10.self_attn.k_proj.weight,0.30617669224739075,0.01483154296875,0.059326171875,0.059326171875,0.3208591938018799,0.3206603527069092,0,0,0,0,0
model.layers.10.self_attn.o_proj.weight,0.3394569158554077,0.01708984375,0.06689453125,0.0654296875,0.3319474458694458,0.33274853229522705,0,0,0,0,0
model.layers.10.self_attn.q_proj.weight,0.30231279134750366,0.013671875,0.04443359375,0.054443359375,0.3194938898086548,0.3197319507598877,0,0,0,0,0
model.layers.10.self_attn.v_proj.weight,0.2878513038158417,0.006805419921875,0.0203857421875,0.0198974609375,0.32596731185913086,0.32671165466308594,0,0,0,0,0
model.layers.11.mlp.down_proj.weight,0.3356783986091614,0.03662109375,0.125,0.142578125,0.33316054940223694,0.33413949608802795,0,0,0,0,0
model.layers.11.mlp.gate_proj.weight,0.2911286950111389,0.033935546875,0.1357421875,0.1357421875,0.3227488100528717,0.32297107577323914,0,0,0,0,0
model.layers.11.mlp.up_proj.weight,0.2900281846523285,0.017578125,0.11328125,0.11328125,0.32297483086586,0.3231448531150818,0,0,0,0,0
model.layers.11.self_attn.k_proj.weight,0.3158852159976959,0.025634765625,0.0810546875,0.06787109375,0.3207838535308838,0.32064270973205566,0,0,0,0,0
model.layers.11.self_attn.o_proj.weight,0.34365466237068176,0.0185546875,0.06298828125,0.06298828125,0.342772901058197,0.34363293647766113,0,0,0,0,0
model.layers.11.self_attn.q_proj.weight,0.30531615018844604,0.015380859375,0.0615234375,0.0615234375,0.3204087018966675,0.32064443826675415,0,0,0,0,0
model.layers.11.self_attn.v_proj.weight,0.28694280982017517,0.00799560546875,0.028076171875,0.0272216796875,0.3262503147125244,0.3269200325012207,0,0,0,0,0
model.layers.12.mlp.down_proj.weight,0.3354153037071228,0.025634765625,0.171875,0.171875,0.33033207058906555,0.3310336172580719,0,0,0,0,0
model.layers.12.mlp.gate_proj.weight,0.29097869992256165,0.025390625,0.11962890625,0.11962890625,0.32244306802749634,0.3226577937602997,0,0,0,0,0
model.layers.12.mlp.up_proj.weight,0.2894558310508728,0.015625,0.064453125,0.05419921875,0.3229944109916687,0.3232247531414032,0,0,0,0,0
model.layers.12.self_attn.k_proj.weight,0.3177626132965088,0.0235595703125,0.07861328125,0.07763671875,0.3244786262512207,0.32469654083251953,0,0,0,0,0
model.layers.12.self_attn.o_proj.weight,0.3325147032737732,0.022705078125,0.0810546875,0.0751953125,0.3428676128387451,0.3441675305366516,0,0,0,0,0
model.layers.12.self_attn.q_proj.weight,0.3086645305156708,0.0272216796875,0.08984375,0.09521484375,0.3238147497177124,0.32408154010772705,0,0,0,0,0
model.layers.12.self_attn.v_proj.weight,0.28853848576545715,0.00836181640625,0.027587890625,0.027587890625,0.3324732780456543,0.33292555809020996,0,0,0,0,0
model.layers.13.mlp.down_proj.weight,0.336159884929657,0.02197265625,0.2021484375,0.2021484375,0.33255141973495483,0.3332662582397461,0,0,0,0,0
model.layers.13.mlp.gate_proj.weight,0.2911805510520935,0.0255126953125,0.08154296875,0.08154296875,0.32325300574302673,0.3233902156352997,0,0,0,0,0
model.layers.13.mlp.up_proj.weight,0.28871339559555054,0.0240478515625,0.0859375,0.09619140625,0.3231585621833801,0.3234529495239258,0,0,0,0,0
model.layers.13.self_attn.k_proj.weight,0.3077256679534912,0.0211181640625,0.07275390625,0.07275390625,0.3218100070953369,0.32140016555786133,0,0,0,0,0
model.layers.13.self_attn.o_proj.weight,0.3348878026008606,0.01556396484375,0.050048828125,0.051025390625,0.33219367265701294,0.3331601023674011,0,0,0,0,0
model.layers.13.self_attn.q_proj.weight,0.2964492440223694,0.01263427734375,0.043212890625,0.04541015625,0.3195205330848694,0.3199542760848999,0,0,0,0,0
model.layers.13.self_attn.v_proj.weight,0.2827353775501251,0.0086669921875,0.0260009765625,0.0263671875,0.328676700592041,0.32912445068359375,0,0,0,0,0
model.layers.14.mlp.down_proj.weight,0.33681976795196533,0.078125,0.3125,0.3125,0.3311648368835449,0.33200713992118835,0,0,0,0,0
model.layers.14.mlp.gate_proj.weight,0.2953840494155884,0.02783203125,0.1103515625,0.111328125,0.32316017150878906,0.3235003352165222,0,0,0,0,0
model.layers.14.mlp.up_proj.weight,0.291932076215744,0.029541015625,0.0888671875,0.0888671875,0.32293838262557983,0.32336387038230896,0,0,0,0,0
model.layers.14.self_attn.k_proj.weight,0.3189071714878082,0.021240234375,0.0634765625,0.0634765625,0.3243076801300049,0.32405543327331543,0,0,0,0,0
model.layers.14.self_attn.o_proj.weight,0.34736913442611694,0.019287109375,0.06884765625,0.0693359375,0.3479726314544678,0.34908366203308105,0,0,0,0,0
model.layers.14.self_attn.q_proj.weight,0.30531370639801025,0.014984130859375,0.05419921875,0.054931640625,0.3213457465171814,0.32168149948120117,0,0,0,0,0
model.layers.14.self_attn.v_proj.weight,0.28739839792251587,0.00860595703125,0.037841796875,0.037841796875,0.3313572406768799,0.33179473876953125,0,0,0,0,0
model.layers.15.mlp.down_proj.weight,0.3381219208240509,0.02685546875,0.16796875,0.16796875,0.32761380076408386,0.32824045419692993,0,0,0,0,0
model.layers.15.mlp.gate_proj.weight,0.2952664792537689,0.029296875,0.1142578125,0.091796875,0.3203512728214264,0.3206142783164978,0,0,0,0,0
model.layers.15.mlp.up_proj.weight,0.29245465993881226,0.0169677734375,0.052490234375,0.052490234375,0.3206642270088196,0.32094988226890564,0,0,0,0,0
model.layers.15.self_attn.k_proj.weight,0.3215562701225281,0.0228271484375,0.09130859375,0.09130859375,0.32317376136779785,0.3234734535217285,0,0,0,0,0
model.layers.15.self_attn.o_proj.weight,0.3364880681037903,0.017333984375,0.044677734375,0.04638671875,0.33865708112716675,0.3396863341331482,0,0,0,0,0
model.layers.15.self_attn.q_proj.weight,0.30471232533454895,0.0257568359375,0.10302734375,0.10302734375,0.32416021823883057,0.3247182369232178,0,0,0,0,0
model.layers.15.self_attn.v_proj.weight,0.2892782688140869,0.00701904296875,0.034423828125,0.034423828125,0.3304290771484375,0.3304250240325928,0,0,0,0,0
model.layers.16.mlp.down_proj.weight,0.33876025676727295,0.0546875,0.21875,0.21875,0.3259643018245697,0.3265911638736725,0,0,0,0,0
model.layers.16.mlp.gate_proj.weight,0.2967629134654999,0.0247802734375,0.0849609375,0.0849609375,0.32012197375297546,0.32027894258499146,0,0,0,0,0
model.layers.16.mlp.up_proj.weight,0.2935088574886322,0.0205078125,0.07861328125,0.060302734375,0.32026538252830505,0.320462703704834,0,0,0,0,0
model.layers.16.self_attn.k_proj.weight,0.31580856442451477,0.01953125,0.07568359375,0.07568359375,0.31920552253723145,0.31911349296569824,0,0,0,0,0
model.layers.16.self_attn.o_proj.weight,0.334447979927063,0.047119140625,0.1884765625,0.1884765625,0.3331787586212158,0.33370596170425415,0,0,0,0,0
model.layers.16.self_attn.q_proj.weight,0.3022095263004303,0.01409912109375,0.047607421875,0.047607421875,0.3195797801017761,0.3198128342628479,0,0,0,0,0
model.layers.16.self_attn.v_proj.weight,0.29169705510139465,0.00860595703125,0.034423828125,0.034423828125,0.33156657218933105,0.3321540355682373,0,0,0,0,0
model.layers.17.mlp.down_proj.weight,0.34035828709602356,0.024169921875,0.1376953125,0.1376953125,0.3274987041950226,0.3280809223651886,0,0,0,0,0
model.layers.17.mlp.gate_proj.weight,0.2953491508960724,0.027099609375,0.11572265625,0.11474609375,0.3192667067050934,0.31948307156562805,0,0,0,0,0
model.layers.17.mlp.up_proj.weight,0.29232853651046753,0.01806640625,0.134765625,0.1328125,0.3193489611148834,0.31956273317337036,0,0,0,0,0
model.layers.17.self_attn.k_proj.weight,0.32135429978370667,0.0194091796875,0.06396484375,0.06396484375,0.32041501998901367,0.32010507583618164,0,0,0,0,0
model.layers.17.self_attn.o_proj.weight,0.33232903480529785,0.0167236328125,0.06396484375,0.06591796875,0.33460837602615356,0.335793673992157,0,0,0,0,0
model.layers.17.self_attn.q_proj.weight,0.309430867433548,0.01214599609375,0.048583984375,0.048583984375,0.3193885087966919,0.3196325898170471,0,0,0,0,0
model.layers.17.self_attn.v_proj.weight,0.3041379451751709,0.00640869140625,0.0242919921875,0.0242919921875,0.3270871639251709,0.3272550106048584,0,0,0,0,0
model.layers.18.mlp.down_proj.weight,0.34185999631881714,0.0247802734375,0.1474609375,0.1474609375,0.3271271884441376,0.32796716690063477,0,0,0,0,0
model.layers.18.mlp.gate_proj.weight,0.29569658637046814,0.0240478515625,0.091796875,0.0908203125,0.31769853830337524,0.3179919123649597,0,0,0,0,0
model.layers.18.mlp.up_proj.weight,0.29186874628067017,0.027587890625,0.0830078125,0.08984375,0.318132609128952,0.31838926672935486,0,0,0,0,0
model.layers.18.self_attn.k_proj.weight,0.3261983096599579,0.01611328125,0.055908203125,0.061279296875,0.319000244140625,0.31898045539855957,0,0,0,0,0
model.layers.18.self_attn.o_proj.weight,0.3347111642360687,0.03173828125,0.11572265625,0.11083984375,0.3312157988548279,0.33222073316574097,0,0,0,0,0
