layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,5120,5120,0,0.002110252380371094,0.0014898300170898438,639.3853939627802,0.051736603037222925,1373.79150390625,742.7928466796875,7.365924835205078,41.94557189941406,9.672550201416016,34.02748107910156,0.9500093460083008,639.0787353515625,0.046267732977867126,"3760,4131,1486,188,4963,1397,613,2508,4942,4448,4373,249,2832,1013,4717,2533",118.59456634521484,,,,,0,4.22428560256958,15.03554916381836,4.292327404022217,19.703723907470703,"0.097,0.097,0.579,0.494,0.121,0.284,0.229,0.231",1983.888916015625,1873.452880859375,"195.6,195.6,2017,5533,932.2,2693,2137,2167",9.270448684692383,10.497380256652832,"6.422,6.422,6.69,12.39,9.138,11.2,11.1,10.81","0.7698,0.7698,1.982,3.364,1.411,2.428,2.177,2.176","2.475,2.475,2.606,4.787,4.053,4.558,4.546,4.524",186,0.00205218605697155,3711,0.023588499054312706,"4717,4131,4963,1486,2832,613,95,4942",0.7465547323226929,0.27583009004592896,0.2362060546875,"2.6,2.41,2.69,2.4,2.44,2.86,2.34,2.47","2.13,1.66,1.62,1.53,1.28,1.05,0.985,0.88","0.00247,0.00571,-0.031,-0.0019,0.0317,0.00464,-0.0272,0.0515","0,0,-0.035,0,0.035,0,-0.035,0.035","0,0,-0.0438,0,0.0539,0,0,0.0438",0.216796875,0.22164660692214966,1,0.06392019242048264,0.11025623977184296
0,k_proj,gptq,1024,5120,0,0.0020723342895507812,0.0014392852783203125,232.25121110742606,0.05119457441901332,500.8376159667969,267.14984130859375,2.7266836166381836,14.956912994384766,3.520336151123047,11.98476505279541,0.9500093460083008,232.21075439453125,0.04048580303788185,"3760,4131,1486,188,1397,2508,4448,4963,2832,4373,249,4942,613,1013,4717,95",118.59456634521484,,,,,0,1.5664418935775757,5.504571437835693,1.5805262327194214,6.97833251953125,"0.099,0.099,0.623,0.514,0.117,0.290,0.225,0.234",1983.888916015625,1873.452880859375,"195.6,195.6,2017,5533,932.2,2693,2137,2167",9.270448684692383,10.497380256652832,"6.422,6.422,6.69,12.39,9.138,11.2,11.1,10.81","0.4744,0.4744,1.24,2.037,0.8538,1.478,1.317,1.322","1.506,1.506,1.57,2.843,2.495,2.746,2.776,2.736",933,0.004852434620261192,694,0.028335701674222946,"4717,4131,4963,1486,2832,613,95,4942",0.6609382033348083,0.415771484375,0.4150390625,"1.47,1.38,1.42,1.26,1.51,1.23,1.08,1.24","2.13,1.66,1.62,1.53,1.28,1.05,0.985,0.88","0.0222,0.0117,-0.0136,0.0576,0.0215,0.0244,0.00433,-0.0287","0.0405,0,-0.0405,0.0405,0.0405,0,0,0","0.0272,0,0,0.0405,0.0335,0.0282,0,-0.0292",0.1416015625,0.15811902284622192,1,0.059477075934410095,0.1006440669298172
0,v_proj,gptq,1024,5120,0,0.00210418701171875,0.001468658447265625,45.60850310366314,0.049622577065961286,100.17474365234375,52.93097686767578,0.5752369165420532,2.7204127311706543,0.6855547428131104,2.145327091217041,0.9500093460083008,45.52678680419922,0.025662222877144814,"3760,4131,1486,188,1397,4942,2508,613,4963,4448,249,4373,2832,1013,167,95",118.59456634521484,,,,,0,0.32458925247192383,0.9850314855575562,0.31840863823890686,1.2397242784500122,"0.109,0.109,0.650,0.553,0.155,0.322,0.277,0.284",1983.888916015625,1873.452880859375,"195.6,195.6,2017,5533,932.2,2693,2137,2167",9.270448684692383,10.497380256652832,"6.422,6.422,6.69,12.39,9.138,11.2,11.1,10.81","0.211,0.211,0.548,0.9272,0.3939,0.6729,0.6085,0.6078","0.6403,0.6403,0.6796,1.247,1,1.185,1.157,1.14",491,0.005215121433138847,81,0.05811847746372223,"4717,4131,4963,1486,2832,613,95,4942",0.3847869634628296,0.692138671875,0.767822265625,"0.29,0.282,0.287,0.346,0.299,0.298,0.309,0.317","2.13,1.66,1.62,1.53,1.28,1.05,0.985,0.88","0.0552,0.0337,0.0248,0.0908,0.0732,-0.0483,-0.0146,-0.0732","0.0653,0.0326,0.0326,0.0979,0.0653,-0.0326,0,-0.0653","0.0532,0.024,0.0209,0.0778,0.0628,-0.0452,-0.0264,-0.0837",0.1142578125,0.10191550105810165,1,0.02844519540667534,0.06251615285873413
0,o_proj,gptq,5120,5120,0,0.00209075927734375,0.001476898193359375,480.53706088580657,0.0400489268370294,1284.114501953125,764.0108642578125,7.712873458862305,25.812959671020508,14.446653366088867,51.838958740234375,0.9653348326683044,475.7383728027344,0.08214908838272095,"2254,2193,1138,3607,5055,2936,2408,2283,4206,2152,2279,2301,2269,593,882,2194",453.73858642578125,,,,,0,8.483491897583008,39.70118713378906,6.22084903717041,15.303411483764648,"0.001,0.001,0.100,0.422,0.421,0.455,0.465,0.454",7463.1748046875,2994.189697265625,"211.5,211.5,4439,2.54e+04,1.04e+04,8019,6091,4930",15.222298622131348,9.52464485168457,"19.49,19.49,17.92,17.63,12.87,12.05,11.55,10.77","0.1841,0.1841,2.321,4.583,3.38,3.312,3.194,2.968","7.796,7.796,7.331,7.053,5.208,4.908,4.683,4.406",4675,0.003489888273179531,4675,0.020250830799341202,"3351,3223,3735,3479,3607,3081,2953,2569",0.21383605897426605,0.6800537109375,0.6925048828125,"0.959,0.997,0.964,0.879,0.994,2.17,2.22,2.63","2.65,2.63,2.59,2.56,2.56,0.77,0.744,0.717","0.396,0.416,0.396,0.389,0.416,-0.0825,-0.0732,-0.0894","0.357,0.357,0.357,0.357,0.357,-0.119,0,-0.119","0.34,0.357,0.34,0.333,0.357,-0.0645,-0.067,-0.065",0.60546875,0.7368482947349548,1,0.19968026876449585,0.7411033511161804
0,gate_proj,gptq,13824,5120,0,0.002122271502459491,0.0014299887197989005,1340.7185820801,0.056391494780044266,2775.312255859375,1434.062744140625,3.368361473083496,32.93010711669922,6.062012672424316,38.685394287109375,0.9527465105056763,1335.4027099609375,0.08297013491392136,"3593,1684,1158,927,1711,1542,1679,4930,3170,4597,575,1787,5000,4808,4863,38",174.53436279296875,,,,,0,3.3768773078918457,24.289152145385742,2.682497024536133,16.94134521484375,"0.013,0.013,0.046,0.253,0.208,0.203,0.178,0.175",2584.84033203125,1959.983154296875,"201.9,201.9,829.4,6097,3935,3456,3172,2785",9.146315574645996,7.555047035217285,"9.12,9.12,9.198,10.28,9.216,8.677,9.092,8.467","0.5653,0.5653,1.058,2.782,2.256,2.124,2.057,1.919","4.891,4.891,4.944,5.53,4.943,4.711,4.88,4.583",3414,0.0015244664391502738,3414,0.001280997064895928,"3850,2428,3553,136,4437,5000,2950,2990",0.24739113450050354,0.3388671875,0.28482168912887573,"2.54,2.53,2.47,2.87,2.77,2.28,2.57,2.51","1.04,0.593,0.45,0.434,0.432,0.425,0.423,0.415","-0.0175,0.0559,0.12,-0.0288,0.0684,-0.00723,-0.0613,0.00452","0,0.0558,0.128,0,0.0558,0,-0.0558,0","0,0.0399,0.153,0,0.0765,0,-0.0611,0",0.515625,0.5899486541748047,1,0.08809061348438263,0.17690075933933258
0,up_proj,gptq,13824,5120,0,0.0021052042643229167,0.0014139528627748843,1114.4997096167945,0.05305720792616995,2376.83349609375,1233.0999755859375,2.9967334270477295,27.712970733642578,5.243261337280273,32.81856918334961,0.9527465105056763,1111.2783203125,0.058603789657354355,"3593,1684,1158,1711,927,1542,1679,4930,3170,575,4597,5000,1787,38,4808,3720",174.53436279296875,,,,,0,2.956390857696533,20.543527603149414,2.343946933746338,14.414656639099121,"0.014,0.014,0.048,0.259,0.213,0.209,0.184,0.182",2584.84033203125,1959.983154296875,"201.9,201.9,829.4,6097,3935,3456,3172,2785",9.146315574645996,7.555047035217285,"9.12,9.12,9.198,10.28,9.216,8.677,9.092,8.467","0.5376,0.5376,0.9937,2.589,2.111,1.987,1.931,1.802","4.475,4.475,4.514,5.092,4.577,4.344,4.505,4.229",7600,0.00035905218101106584,10571,0.000587375252507627,"3850,2428,3553,136,4437,5000,2950,2990",0.1647530049085617,0.43685799837112427,0.43631547689437866,"0.927,1.59,1.82,1.86,1.97,2.07,1.25,2.13","1.04,0.593,0.45,0.434,0.432,0.425,0.423,0.415","0.00504,-0.017,-0.000782,0.0145,-0.0157,0.0123,0.0101,0.0123","0,-0.0108,0,0.0108,-0.0108,0.0108,0.0108,0.0108","0,-0.0122,0,0.0165,-0.0112,0.0145,0.0134,0.0134",0.068359375,0.07472008466720581,1,0.03999914228916168,0.03855215013027191
0,down_proj,gptq,5120,13824,0,0.0020040582727502893,0.0014485677083333334,2498.8557459527583,0.09135100617999878,4285.47509765625,1689.77294921875,5.380896091461182,21.314006805419922,17.786151885986328,37.75531768798828,0.3034011721611023,2490.3759765625,0.14708282053470612,"78,1642,10932,7835,5451,12901,8538,8670,862,3929,4215,7153,7591,11510,9330,8119",510.8311462402344,,,,,0,12.272622108459473,32.6014289855957,7.340635299682617,11.02812671661377,"0.001,0.001,0.150,0.565,0.493,0.790,0.720,0.783",18462.623046875,11672.166015625,"212.9,212.9,1.549e+04,4.793e+04,2.338e+04,1.856e+04,2.107e+04,2.086e+04",15.362258911132812,8.8126802444458,"16.42,16.42,19.03,20.82,16.29,10.76,12.01,11.14","0.1995,0.1995,2.593,5.862,4.297,3.481,3.7,3.57","5.797,5.797,6.688,7.797,6.119,3.916,4.361,4.035",1093,0.0031916359439492226,4675,0.006211024709045887,"7835,1790,11662,1642,1146,10589,573,13239",1.4329169988632202,0.3738769590854645,0.38666993379592896,"1.07,1.48,1.15,1.19,1.39,1.48,1.26,1.42","5.06,3.93,2.24,1.81,0.923,0.906,0.796,0.768","0.208,0.0256,0.138,-0.154,0.0425,-0.0211,0.119,0.00244","0.18,0,0.166,-0.18,0.033,0,0.0969,0","0.178,0.0469,0.118,-0.132,0.0399,-0.0388,0.102,0",0.314453125,0.2727653384208679,1,0.2427349090576172,0.4810645282268524
1,q_proj,gptq,5120,5120,0,0.0019920730590820314,0.0014492034912109374,339.30541596671355,0.38797452831100904,425.94927978515625,86.04129028320312,0.4639183282852173,4.954599857330322,0.7754039168357849,7.2904157638549805,0.9298739433288574,337.20013427734375,0.5368363857269287,"4517,2657,11,3388,4775,1477,28,351,4139,3553,157,1093,4847,1290,4373,1685",1644.2547607421875,,,,,0,0.3419719636440277,4.947047710418701,0.35969340801239014,2.2536091804504395,"0.006,0.006,0.021,0.420,0.205,0.193,0.206,0.173",479.30096435546875,486.509765625,"185.4,185.4,294.3,723.5,623.6,604.8,646.2,571.2",4.868961334228516,3.5101191997528076,"7.029,7.029,7.093,3.107,3.785,3.596,3.641,3.672","0.2389,0.2389,0.4482,0.7808,0.7152,0.6651,0.6754,0.6332","3.117,3.117,3.062,1.205,1.58,1.513,1.488,1.524",1512,0.0027684124652296305,930,0.00553989689797163,"2657,11,1093,3553,4847,2428,4373,28",3.3541529178619385,0.2708740234375,0.1214599609375,"2.55,4.24,1.99,2.94,2.94,2,2.29,2.69","1.85,1.07,0.578,0.559,0.545,0.532,0.466,0.43","0.0175,0.0229,-0.043,-0.0182,0.00183,-0.0293,0.0109,-0.0034","0,0,-0.0689,0,0,0,0,0","0.0173,0.0197,-0.0368,-0.0158,0,-0.0335,0.0107,-0.00656",0.2412109375,0.2067522406578064,1,0.03763290122151375,0.015888337045907974
1,k_proj,gptq,1024,5120,0,0.001956939697265625,0.0014497756958007813,85.65009256158405,0.17896384424486522,118.74816131591797,60.488182067871094,0.1177339181303978,1.4269355535507202,0.18789398670196533,2.1766653060913086,0.9298739433288574,85.31587219238281,0.4368145167827606,"4517,2657,3388,11,4775,28,3553,351,1477,4139,1093,157,4847,4373,1435,1290",1644.2547607421875,,,,,0,0.08394036442041397,1.5208442211151123,0.08843283355236053,0.6637217402458191,"0.005,0.005,0.015,0.300,0.172,0.166,0.169,0.146",479.30096435546875,486.509765625,"185.4,185.4,294.3,723.5,623.6,604.8,646.2,571.2",4.868961334228516,3.5101191997528076,"7.029,7.029,7.093,3.107,3.785,3.596,3.641,3.672","0.1182,0.1182,0.2163,0.3819,0.3528,0.3324,0.3397,0.3171","1.709,1.709,1.755,0.6969,0.8502,0.8167,0.8258,0.8296",117,0.012869180180132389,117,0.03253595158457756,"2657,11,1093,3553,4847,2428,4373,28",2.687051296234131,0.2733154296875,0.16748046875,"1.34,1.21,1.33,1.64,1.17,1.43,1.25,1.42","1.85,1.07,0.578,0.559,0.545,0.532,0.466,0.43","-0.344,0.0132,0.248,0.236,-0.273,-0.246,0.111,-0.192","-0.301,0,0.301,0.301,-0.301,-0.301,0.1,-0.201","-0.295,0,0.213,0.203,-0.312,-0.281,0.11,-0.165",0.3515625,0.3013392984867096,7,0.0400250181555748,0.1533549427986145
1,v_proj,gptq,1024,5120,0,0.0019998550415039062,0.0014764785766601563,28.092592954297903,0.05226471947108326,62.51844024658203,54.603179931640625,0.039439454674720764,0.2611754536628723,0.057127512991428375,0.3902699649333954,0.9298739433288574,27.995637893676758,0.2673991620540619,"4517,2657,3388,11,4775,28,351,4139,1477,1093,4847,157,4373,3553,1685,1290",1644.2547607421875,,,,,0,0.026233026757836342,0.271329402923584,0.0275176502764225,0.12623614072799683,"0.011,0.011,0.028,0.429,0.269,0.275,0.264,0.229",479.30096435546875,486.509765625,"185.4,185.4,294.3,723.5,623.6,604.8,646.2,571.2",4.868961334228516,3.5101191997528076,"7.029,7.029,7.093,3.107,3.785,3.596,3.641,3.672","0.0744,0.0744,0.1198,0.2092,0.1959,0.1874,0.1894,0.177","0.7108,0.7108,0.7176,0.3195,0.3775,0.3577,0.3688,0.3697",233,0.006155460607260466,169,0.008014028891921043,"2657,11,1093,3553,4847,2428,4373,28",1.6625761985778809,0.58837890625,0.638427734375,"0.203,0.267,0.264,0.197,0.247,0.32,0.286,0.258","1.85,1.07,0.578,0.559,0.545,0.532,0.466,0.43","-0.00386,0.0114,0.00873,0.0108,0.013,0.0126,-0.0105,-0.0173","0,0,0,0,0,0,-0.0266,-0.0266","0,0.0135,0.0142,0.0128,0.017,0,0,-0.0135",0.09326171875,0.08762892335653305,1,0.015370363369584084,0.010674755088984966
1,o_proj,gptq,5120,5120,0,0.0021050262451171877,0.0014569091796875,356.28269106932567,0.042469045218048236,926.8736572265625,486.83056640625,0.08799118548631668,0.6487674713134766,0.25467735528945923,3.2297964096069336,0.4439629316329956,354.33984375,0.08128725737333298,"1138,3615,882,3688,3644,3614,3707,3674,884,3694,3655,3696,3601,3639,3689,3660",72.34955596923828,,,,,0,0.1301206350326538,2.961643934249878,0.12982919812202454,0.5575266480445862,"0.000,0.000,0.004,0.118,0.206,0.212,0.232,0.232",8412.6318359375,6920.61669921875,"212.9,212.9,1527,1.578e+04,1.536e+04,1.267e+04,1.136e+04,1.018e+04",4.333022594451904,1.9715574979782104,"6.953,6.953,7.046,3.578,2.904,2.572,2.372,2.286","0.02188,0.02188,0.1604,0.4691,0.4934,0.4472,0.4262,0.4113","2.45,2.45,2.487,1.365,1.087,0.9718,0.8843,0.8532",4020,0.008479063399136066,3850,0.010642925277352333,"3460,4788,5044,3593,3337,4532,3230,3582",0.42503005266189575,0.4543212950229645,0.4046874940395355,"1.56,1.3,1.12,1.59,1.14,1.2,1.7,1.66","0.289,0.258,0.244,0.243,0.227,0.219,0.211,0.199","-0.0928,0.159,0.145,0.0195,0.0752,0.145,0.04,-0.0364","-0.0993,0.199,0.199,0,0.0993,0.0993,0,0","-0.109,0.136,0.124,0.0385,0.0982,0.124,0.0622,-0.0544",0.6015625,0.5168544054031372,1,0.04543030634522438,0.10036445409059525
1,gate_proj,gptq,13824,5120,0,0.0019840381763599536,0.0014623006184895833,134.56176097555425,0.05539633743376744,291.91583251953125,219.8827667236328,30.929500579833984,10847.140625,52.18450164794922,9685.611328125,0.9797846078872681,130.7764129638672,0.48514091968536377,"2657,3593,3850,228,4395,4794,4437,1466,1093,1372,2099,4436,4517,655,4020,4610",808.8079833984375,,,,,0,24.817031860351562,3657.908447265625,24.533946990966797,5409.4169921875,"0.002,0.002,0.004,0.017,0.010,0.007,0.007,0.006",485.7666931152344,491.8838806152344,"184.2,184.2,279.8,770.4,628,619.1,641.9,578.6",62.755859375,73.32904052734375,"58.84,58.84,59.06,52.88,66.87,69.99,66.42,69.14","2.2,2.2,3.261,6.841,6.185,5.816,5.565,5.327","50.33,50.33,52.08,51.97,63.02,71.97,68.87,69.93",12935,0.0029946700669825077,9305,0.0008119983249343932,"4675,3850,2099,1466,655,1567,4395,4437",13.784669876098633,0.028311271220445633,0.014485676772892475,"3.63,6.14,3.53,4.18,3.84,3.61,4.14,3.3","23,21.7,20.9,19,16,15.6,15.3,14.4","-0.0164,-0.0298,0.0254,-0.014,-0.0171,-0.00854,0.0109,-0.00183","0,-0.0527,0,0,-0.0527,0,0,0","-0.0232,-0.0218,0.0181,-0.0153,-0.0126,0,0,0",0.1845703125,0.19496136903762817,1,0.3384823203086853,0.920900821685791
1,up_proj,gptq,13824,5120,0,0.0019608674225983797,0.0014576240822120948,43.60557262040787,0.032792835608914245,131.34652709960938,115.25930786132812,11.567994117736816,459.0220947265625,17.513717651367188,444.4339294433594,0.9797846078872681,43.217369079589844,0.32648950815200806,"3593,228,2657,4436,4437,4794,655,1372,4517,2099,1093,4395,4610,4020,136,4675",808.8079833984375,,,,,0,8.016304016113281,177.56961059570312,8.51475715637207,239.13021850585938,"0.009,0.009,0.022,0.125,0.057,0.050,0.054,0.046",485.7666931152344,491.8838806152344,"184.2,184.2,279.8,770.4,628,619.1,641.9,578.6",62.755859375,73.32904052734375,"58.84,58.84,59.06,52.88,66.87,69.99,66.42,69.14","1.21,1.21,1.866,3.831,3.385,3.338,3.269,3.124","12.53,12.53,12.54,10.83,14.13,14.94,14.06,14.53",6058,0.003683654824271798,8794,0.03556635230779648,"4675,3850,2099,1466,655,1567,4395,4437",9.728096008300781,0.30035626888275146,0.1517198383808136,"0.955,0.582,0.687,0.618,0.637,0.729,0.616,0.746","23,21.7,20.9,19,16,15.6,15.3,14.4","0.00304,-0.000181,0.0036,0.00595,0.0253,9.92e-05,0.0061,0.0129","0,0,0,0,0.0441,0,0,0","0,0,0,0,0.0441,0,0,0.0247",0.154296875,0.1763392984867096,1,0.20544731616973877,0.3187386989593506
1,down_proj,gptq,5120,13824,0,0.002054454662181713,0.0014578642668547455,485.19498778286015,0.17909490487726962,678.9243774414062,307.80389404296875,0.7852470874786377,2.385826587677002,2.9120771884918213,37.98662567138672,0.9092419147491455,482.30999755859375,0.6829742193222046,"5472,4733,13373,13674,1823,12990,9476,10688,4220,5573,4766,5878,9737,3501,7545,2889",3234.42626953125,,,,,0,2.6119792461395264,41.53424835205078,0.45271024107933044,1.2181422710418701,"0.000,0.000,0.176,0.129,0.166,0.378,0.366,0.198",15001.7138671875,490.7973327636719,"219.6,219.6,9.823e+04,1.677e+04,2479,757.1,792.3,546.7",16.467864990234375,2.8683481216430664,"38,38,32.28,9.814,4.403,3.178,3.127,2.938","0.06104,0.06104,3.566,2.312,1.087,0.7602,0.8465,0.5961","10.15,10.15,8.504,6.444,2.671,1.237,1.399,1.338",4675,0.0180705226957798,3094,0.008045664988458157,"6881,10451,1823,5573,8935,5064,2057,13333",0.66916823387146,0.4844970703125,0.3467040956020355,"1.07,1.13,0.753,0.878,1.23,1.19,1.33,1.04","1.76,0.731,0.684,0.67,0.624,0.603,0.597,0.583","-0.379,0.0574,-0.192,-0.188,-0.48,0.0508,-0.479,-0.0148","-0.412,0,-0.137,-0.137,-0.412,0,-0.418,0","-0.325,0.0765,-0.209,-0.219,-0.412,0.0402,-0.547,0",0.5078125,0.6213434934616089,1,0.14610838890075684,0.20524980127811432
2,q_proj,gptq,5120,5120,0,0.00202880859375,0.001462554931640625,574.9923796289816,0.1951680505998695,792.253173828125,315.21923828125,1.2605054378509521,11.560662269592285,2.3219094276428223,15.88212776184082,0.7996214628219604,572.4849853515625,0.3831779360771179,"3388,28,157,2347,1824,2428,4344,892,5009,11,5021,1881,415,1372,3890,4061",412.87359619140625,,,,,0,1.1073505878448486,10.824602127075195,1.0752829313278198,5.339799404144287,"0.003,0.003,0.051,0.306,0.325,0.273,0.238,0.233",916.590576171875,1036.9547119140625,"202.9,202.9,489.9,1188,1230,1343,1401,1275",7.334757328033447,5.424032688140869,"10.47,10.47,9.894,5.556,5.414,5.584,5.763,5.537","0.246,0.246,0.95,1.446,1.275,1.227,1.169,1.117","4.489,4.489,4.224,2.616,2.235,2.35,2.393,2.316",3440,0.006804382428526878,4353,0.0036268862895667553,"11,2657,2428,28,3553,892,415,1093",2.11140775680542,0.3135742247104645,0.17770996689796448,"3.33,2.13,2.49,2.85,2.92,2.85,2.51,2.13","1.16,1.08,1.05,1,0.902,0.866,0.719,0.694","0.0732,0.146,0.0659,0.00717,-0.0452,-0.0579,-0.04,-0.0211","0.0988,0.0988,0.0988,0,-0.0988,-0.0988,0,0","0.0628,0.126,0.0555,0,-0.0532,-0.0541,-0.0414,-0.0205",0.345703125,0.3950892984867096,1,0.1051744818687439,0.07013537734746933
2,k_proj,gptq,1024,5120,0,0.0020517349243164063,0.0014776229858398438,204.70095413520588,0.16542724898159689,288.3990783691406,127.64523315429688,0.4482714831829071,4.618592262268066,0.7970412969589233,6.749601364135742,0.7996214628219604,203.75619506835938,0.3676758408546448,"3388,28,157,1824,2428,2347,892,4344,5009,1881,415,5021,1372,11,4061,3890",412.87359619140625,,,,,0,0.37645775079727173,5.032325744628906,0.3789856731891632,1.9835304021835327,"0.002,0.002,0.029,0.313,0.315,0.257,0.224,0.211",916.590576171875,1036.9547119140625,"202.9,202.9,489.9,1188,1230,1343,1401,1275",7.334757328033447,5.424032688140869,"10.47,10.47,9.894,5.556,5.414,5.584,5.763,5.537","0.1328,0.1328,0.5199,0.8292,0.7622,0.7257,0.6944,0.6548","3.22,3.22,3.041,1.482,1.359,1.432,1.468,1.424",753,0.019344085827469826,327,0.016147201880812645,"11,2657,2428,28,3553,892,415,1093",1.9112459421157837,0.287841796875,0.170166015625,"1.65,1.64,1.84,1.56,1.9,1.55,1.6,1.67","1.16,1.08,1.05,1,0.902,0.866,0.719,0.694","0.299,0.432,0.142,-0.0903,-0.0603,-0.222,0.202,-0.336","0.31,0.465,0.155,-0.155,0,-0.155,0.155,-0.31","0.256,0.37,0.126,-0.0854,-0.0597,-0.194,0.173,-0.288",0.54296875,0.4654017984867096,6,0.10600439459085464,0.16974234580993652
2,v_proj,gptq,1024,5120,0,0.0020107269287109376,0.0014448165893554688,48.31082588971455,0.042417928619036406,116.77568054199219,80.42265319824219,0.11055044829845428,0.9324750900268555,0.15579795837402344,1.2012354135513306,0.7996214628219604,47.962432861328125,0.12435492128133774,"3388,28,157,1824,2347,2428,5009,892,5021,4344,415,1881,1372,3890,11,4061",412.87359619140625,,,,,0,0.07063839584589005,0.8085221648216248,0.07952896505594254,0.4322878420352936,"0.004,0.004,0.033,0.237,0.223,0.222,0.209,0.209",916.590576171875,1036.9547119140625,"202.9,202.9,489.9,1188,1230,1343,1401,1275",7.334757328033447,5.424032688140869,"10.47,10.47,9.894,5.556,5.414,5.584,5.763,5.537","0.07752,0.07752,0.2069,0.3265,0.3174,0.3225,0.3232,0.3072","1.195,1.195,1.135,0.6704,0.6727,0.6849,0.7066,0.6716",374,0.003679414512589574,398,0.005808250512927771,"11,2657,2428,28,3553,892,415,1093",0.8948972225189209,0.6884765625,0.7904052734375,"0.171,0.206,0.164,0.203,0.14,0.237,0.233,0.242","1.16,1.08,1.05,1,0.902,0.866,0.719,0.694","0.000359,-0.00729,0.00513,-0.00418,-0.00632,-0.0183,-0.000572,-0.00127","0,-0.0137,0,0,0,-0.0137,0,0","0,-0.0137,0,0,0,-0.016,0,0",0.068359375,0.06995797157287598,1,0.019254187121987343,0.013630842790007591
2,o_proj,gptq,5120,5120,0,0.002112884521484375,0.0014908218383789063,591.6965853666052,0.04383635930834785,1479.403564453125,778.969482421875,0.7212836742401123,2.4177188873291016,1.5343382358551025,9.714320182800293,0.4281013309955597,588.8729858398438,0.044786106795072556,"2476,2530,2524,2562,2561,2092,2140,2677,1964,2892,2146,2348,2220,1687,4644,1674",28.582828521728516,,,,,0,0.8022185564041138,8.882774353027344,0.8021879196166992,1.8012655973434448,"0.000,0.000,0.012,0.244,0.322,0.400,0.439,0.426",6982.609375,5462.9892578125,"213.6,213.6,2361,1.341e+04,1.241e+04,1.022e+04,9145,7888",6.930490970611572,3.173992872238159,"10.92,10.92,10.58,6.007,4.948,4.273,4.019,3.775","0.044,0.044,0.4459,1.179,1.148,1.109,1.102,1.032","4.242,4.242,4.119,2.384,2.021,1.752,1.662,1.581",3593,0.007729632779955864,2657,0.0024250519927591085,"602,999,1127,512,2964,4366,583,972",0.14774204790592194,0.4224609434604645,0.3052001893520355,"1.32,1.59,1.61,1.31,1.85,1.61,1.66,1.46","0.432,0.326,0.318,0.313,0.309,0.303,0.296,0.291","0.04,0.0223,-0.151,-0.0432,0.0356,0.0776,0.0104,0.0354","0,0,-0.105,-0.064,0.116,0.105,0,0.0768","0.046,0.0262,-0.13,-0.046,0.0272,0.0787,0,0.0262",0.73046875,0.646173894405365,2,0.10091166198253632,0.09637434780597687
2,gate_proj,gptq,13824,5120,0,0.0019943519874855323,0.0014259620949074075,201.4553514032718,0.023621763715919772,700.6873168945312,573.1107177734375,46.64474105834961,13663.01171875,75.99059295654297,11162.865234375,0.9806845784187317,199.27439880371094,0.4094005227088928,"3593,4437,655,2099,4395,320,2657,4610,3891,1567,1466,4020,136,892,3850,228",572.617431640625,,,,,0,34.34362030029297,4601.9677734375,38.35151672363281,6320.0869140625,"0.001,0.001,0.003,0.014,0.010,0.010,0.009,0.007",691.7239379882812,789.8678588867188,"195.5,195.5,339.2,870.3,920.7,1014,1049,949.7",67.3661880493164,76.05282592773438,"63.36,63.36,63.42,59.34,70.99,71.71,72.69,74.07","2.082,2.082,3.568,7.211,7.25,7.377,7.072,6.661","61.16,61.16,60.68,60.4,71.69,72.97,74.98,76.92",11479,0.001455524004995823,32,0.0009330056491307914,"4437,1567,1466,655,4610,2099,4395,4020",13.753068923950195,0.08185040205717087,0.049298323690891266,"3.38,4.31,4.37,4.31,3.72,3.66,4.4,2.78","22.2,21.7,21.1,20.7,18.6,18.4,17,15.6","0.0154,-0.0142,0.00415,-0.0537,0.0254,0.0228,0.0364,0.0226","0,0,0,-0.053,0.053,0,0.053,0","0.0273,-0.0227,0,-0.0575,0,0.0225,0.0273,0.0212",0.275390625,0.3064742982387543,1,0.27659523487091064,0.4892081320285797
