layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,3072,3072,0,0.0021347469753689235,0.001464737786187066,2648.9229185354475,0.1598100981815564,3547.51708984375,2022.816650390625,16.277584075927734,107.44459533691406,52.8040771484375,115.94622802734375,0.9596123099327087,2597.3583984375,0.7821940779685974,"2156,2426,362,495,2140,642,1678,2239,253,2492,665,130,2651,922,2068,3029",1228.154541015625,,,,,0,35.21392059326172,56.08977508544922,13.45729923248291,56.36562728881836,"1.245,1.012,0.760,0.991,0.091,0.731,0.075,0.205",205.63607788085938,127.16937255859375,"273.8,233.3,215.2,431.8,31.25,260.8,57.08,141.9",4.978826522827148,4.965576171875,"5.955,5.94,3.817,3.914,6.367,4.051,5.517,4.269","9.729,8.798,4.76,6.284,2.688,5.13,2.254,2.981","8.719,8.747,5.458,6.313,8.913,5.999,8.227,6.589",2275,0.06244871765375137,1879,0.023696893826127052,"2156,495,2880,343,1278,430,2426,1923",26.299884796142578,0.2417806088924408,0.1820068359375,"9.13,8.74,4.67,5.35,5.22,4.97,10.3,5.69","5.16,2.73,0.734,0.711,0.668,0.664,0.562,0.49","0.746,0.75,-0.00842,0.206,-0.017,-0.00473,0.715,0.336","0.643,0.643,0.643,-0.429,-0.857,-0.857,0.643,0.214","0.64,0.643,0,0.223,0,0,0.613,0.323",0.75,1.5381779670715332,1,0.6716785430908203,0.9532991647720337
0,k_proj,gptq,1024,3072,0,0.0021425882975260415,0.0014642079671223958,683.7005611140551,0.17678920274106522,928.0913696289062,511.2496643066406,4.262939453125,22.596637725830078,11.321792602539062,25.992969512939453,0.9596123099327087,670.153076171875,0.7572668194770813,"2156,2426,495,362,2140,1678,2239,642,130,665,253,2492,922,3029,2986,2651",1228.154541015625,,,,,0,7.344207763671875,12.686750411987305,3.057645320892334,12.1802978515625,"1.053,0.849,0.732,1.202,0.061,0.805,0.081,0.265",205.63607788085938,127.16937255859375,"273.8,233.3,215.2,431.8,31.25,260.8,57.08,141.9",4.978826522827148,4.965576171875,"5.955,5.94,3.817,3.914,6.367,4.051,5.517,4.269","4.414,3.794,2.3,2.879,1.138,2.558,1.056,1.529","4.301,4.119,2.688,2.626,4.605,2.85,3.708,2.972",71,0.04162067174911499,458,0.03447912633419037,"2156,495,2880,343,1278,430,2426,1923",32.07965850830078,0.2611083984375,0.185302734375,"4.75,3.52,3.1,3.45,3.1,2.84,4.01,2.41","5.16,2.73,0.734,0.711,0.668,0.664,0.562,0.49","0.332,0.223,0.13,0.0564,0.0903,-0.0464,0.291,0.129","0.285,0.19,0.285,-0.0949,-0.285,-0.379,0.285,0.0949","0.285,0.191,0.147,0.055,0.116,-0.0636,0.249,0.108",0.33203125,0.5884447693824768,1,0.2322351038455963,0.36843031644821167
0,v_proj,gptq,1024,3072,0,0.0019985834757486978,0.0014966328938802083,13.314757037024036,0.00608458047952023,141.56280517578125,154.75424194335938,0.07973037660121918,0.44929853081703186,0.15112808346748352,0.4640282988548279,0.9596123099327087,12.951408386230469,0.4256000518798828,"2156,2426,495,665,1678,2492,2140,642,922,2986,2651,2068,2239,130,1009,343",1228.154541015625,,,,,0,0.09224744886159897,0.2398022711277008,0.04465462267398834,0.21336328983306885,"0.590,0.739,0.304,0.693,0.033,0.404,0.086,0.215",205.63607788085938,127.16937255859375,"273.8,233.3,215.2,431.8,31.25,260.8,57.08,141.9",4.978826522827148,4.965576171875,"5.955,5.94,3.817,3.914,6.367,4.051,5.517,4.269","0.3717,0.4049,0.2694,0.4352,0.09884,0.3201,0.1301,0.2115","0.4841,0.4709,0.489,0.5229,0.5402,0.5037,0.4429,0.4561",738,0.05521037057042122,923,0.031899645924568176,"2156,495,2880,343,1278,430,2426,1923",22.1556339263916,0.690185546875,0.9384765625,"0.0826,0.106,0.4,0.376,0.335,0.364,0.141,0.31","5.16,2.73,0.734,0.711,0.668,0.664,0.562,0.49","0.00342,0.019,0.188,0.00389,0.00977,-0.181,-0.000131,-0.0352","0,0,0.161,-0.0536,-0.0536,-0.214,0.0536,-0.0536","0,0,0.161,0,0,-0.206,0,-0.0405",0.1875,0.2142857313156128,2,0.023223772644996643,0.09062249958515167
0,o_proj,gptq,3072,3072,0,0.002081976996527778,0.001468764411078559,370.63709678218584,0.10756906637308296,606.6427001953125,298.5130920410156,0.07229498028755188,0.47512149810791016,0.22611530125141144,0.890789270401001,0.8173355460166931,369.0598449707031,0.2246829718351364,"1657,1747,1748,1753,1743,870,1612,1757,1751,810,1659,1758,1629,1725,2863,830",215.94204711914062,,,,,0,0.18688857555389404,0.4719640016555786,0.0643547996878624,0.3425634205341339,"0.378,0.402,0.711,0.834,0.263,0.421,0.316,0.340",4070.495361328125,1023.7315673828125,"9153,4725,3274,4483,4913,2484,2031,1499",1.6206409931182861,1.2783883810043335,"2.302,2.029,1.497,1.298,2.113,1.176,1.361,1.19","0.5205,0.4821,0.4621,0.4269,0.5288,0.3256,0.3488,0.2978","0.8466,0.7607,0.5481,0.4676,1.031,0.5022,0.6205,0.5108",953,0.03171857073903084,2999,0.3503788113594055,"1025,1126,263,1263,1086,1753,769,2863",1.0234637260437012,0.4345296323299408,0.3554280698299408,"1.38,1.92,1.86,1.49,1.71,1.52,1.62,1.73","0.887,0.738,0.613,0.531,0.441,0.428,0.385,0.35","0.609,0.484,-0.085,-0.637,-0.275,-0.291,0.824,-0.022","0.522,0.522,-0.215,-0.783,-0.261,-0.261,0.783,0","0.522,0.522,-0.139,-0.546,-0.348,-0.271,0.706,0",0.9140625,1.0446429252624512,1,0.09417980164289474,0.2976810336112976
0,gate_proj,gptq,23040,3072,0,0.0020932656747323494,0.0015039090757016783,4878.7781856339425,0.03480812986315752,12995.94140625,9074.818359375,46.610069274902344,159.5703125,123.79310607910156,206.69448852539062,0.833066999912262,4871.22998046875,0.1766500025987625,"2492,1747,1923,852,2067,2311,2994,1107,310,2850,1576,2068,364,37,1481,1722",105.45594024658203,,,,,0,89.3364486694336,134.98773193359375,33.59055709838867,81.42858123779297,"0.660,0.555,0.737,0.954,0.340,0.793,0.243,0.448",3769.90380859375,1626.01513671875,"3732,3657,5279,9265,608.9,4442,857.3,2318",6.422393798828125,4.979801177978516,"6.856,7.498,7.312,8.664,3.842,6.203,5.222,5.782","9.855,9.927,11.08,14.66,3.965,9.792,4.644,6.936","12.13,13.32,12.91,15.01,6.797,10.99,9.431,10.37",288,0.002958492608740926,288,0.0032495418563485146,"1043,1107,2651,102,2155,2156,2478,838",0.9089547395706177,0.3989637792110443,0.5119411945343018,"4.03,8.53,6.72,3.95,8.3,7.83,6.94,8.31","0.867,0.637,0.539,0.52,0.477,0.467,0.465,0.459","0.477,0.412,-0.0649,-0.436,-0.19,0.301,-0.0344,-0.361","0.429,0.429,0,-0.429,-0.143,0.286,0,-0.286","0.408,0.408,-0.0737,-0.498,-0.172,0.258,-0.0664,-0.318",0.671875,0.7782156467437744,1,0.21567510068416595,0.3874615430831909
0,up_proj,gptq,23040,3072,0,0.0020941416422526043,0.0014831825538917825,4056.564629515633,0.030543416085414287,11710.962890625,8117.236328125,42.12841033935547,136.94790649414062,106.31564331054688,178.15150451660156,0.833066999912262,4051.535400390625,0.15567593276500702,"2492,1747,1923,852,2067,2311,2994,1107,310,2850,1576,2068,364,1481,37,1722",105.45594024658203,,,,,0,75.79483032226562,116.05448150634766,29.48552703857422,69.75758361816406,"0.649,0.535,0.717,0.930,0.339,0.797,0.242,0.460",3769.90380859375,1626.01513671875,"3732,3657,5279,9265,608.9,4442,857.3,2318",6.422393798828125,4.979801177978516,"6.856,7.498,7.312,8.664,3.842,6.203,5.222,5.782","9.022,8.997,10.15,13.58,3.646,9.11,4.252,6.488","11.2,12.29,11.99,14.08,6.264,10.2,8.646,9.57",5099,0.0011415242915973067,15553,0.0014707865193486214,"1043,1107,2651,102,2155,2156,2478,838",0.7027509212493896,0.4128689467906952,0.5503743886947632,"3.14,6.78,6.73,3.23,7.36,6.19,5.9,6.95","0.867,0.637,0.539,0.52,0.477,0.467,0.465,0.459","0.0033,-0.114,-0.0923,0.00258,-0.0786,-0.0669,-0.0236,0.0134","0,-0.147,-0.0737,0,-0.0737,-0.0737,-0.0461,0","0,-0.131,-0.096,0,-0.0656,-0.0656,-0.0458,0",0.2578125,0.2209821492433548,1,0.12317755818367004,0.036283768713474274
0,down_proj,gptq,3072,23040,0,0.002004792955186632,0.0015103940610532408,10838.524380540068,0.08204899176625395,19158.181640625,7967.17333984375,20.69361686706543,126.45877838134766,264.56524658203125,199.4288787841797,0.10399647057056427,10810.1962890625,0.10631528496742249,"2669,12620,11114,425,3338,7503,4527,6720,18964,9147,10056,1454,19,20184,5475,2951",471.69561767578125,,,,,0,245.69796752929688,170.42515563964844,53.205299377441406,60.47077941894531,"1.488,1.674,1.876,2.356,0.197,0.944,0.665,0.975",162934.890625,32449.21875,"3.837e+05,3.782e+05,1.532e+05,2.542e+05,1.156e+04,4.475e+04,2.234e+04,5.549e+04",20.911113739013672,12.273895263671875,"31.38,30.06,19.89,22.39,19.43,16.11,12.25,15.77","23.07,23.07,16.11,19.92,5.201,9.49,6.078,9.507","18.91,17.83,11.76,12.98,11.7,9.77,7.455,9.63",1831,0.010597016662359238,2427,0.016880560666322708,"15127,14531,13726,15263,19374,6162,15470,18129",1.2685647010803223,0.4563395380973816,0.5168864130973816,"1.72,2.04,1.89,2.05,1.64,1.46,1.5,1.39","17,4.38,3.31,3.05,2.83,2.39,2.39,2.34","0.0591,0.104,0.00281,0.0972,0.01,-0.0615,0.0315,0.0361","0,0.0974,0,0.161,0,0,0.133,0.0552","0.0583,0.111,0,0.111,0,-0.0564,0.0342,0.0331",0.384765625,0.4218750298023224,1,0.5354124903678894,0.08402159810066223
1,q_proj,gptq,3072,3072,0,0.0020878050062391493,0.0014752282036675347,860.4360883239424,0.033954856364014754,2347.255859375,1514.1746826171875,18.347732543945312,165.976318359375,31.162517547607422,152.36380004882812,0.9822477698326111,856.7315673828125,0.08553138375282288,"2373,2332,1082,406,718,2740,2355,2449,1670,2255,3069,24,2019,2762,2589,2108",894.9783935546875,,,,,0,18.382827758789062,75.1516342163086,11.978469848632812,76.72372436523438,"0.323,0.332,0.266,0.371,0.111,0.199,0.097,0.193",1545.5289306640625,1070.80029296875,"1722,2107,1798,2702,544.7,1430,640.1,1422",12.045927047729492,12.155317306518555,"11.21,12.38,12.39,13.35,10.09,12.62,11.73,12.61","4.626,5.218,4.571,5.742,2.409,4.014,2.626,3.97","8.134,9.056,8.856,9.425,7.222,9.009,8.423,9.028",601,0.006662736181169748,856,0.006705529056489468,"1341,422,2222,1502,1560,1090,2521,2563",0.7672792673110962,0.4802653193473816,0.6109212636947632,"1.93,1.94,1.79,2.81,1.94,2.88,1.99,2.23","6.94,2.42,2.19,1.72,1.7,1.44,1.21,1.09","0.159,0.134,-0.148,-0.0179,0.154,0.0889,-0.151,0.154","0.136,0.136,-0.136,0,0.136,0.136,-0.182,0.136","0.136,0.148,-0.13,0,0.137,0.0804,-0.13,0.132",0.18359375,0.1819196492433548,3,0.1966031789779663,0.2169990986585617
1,k_proj,gptq,1024,3072,0,0.0020656585693359375,0.0014934539794921875,407.0979900602797,0.048839300969915844,915.115478515625,548.5056762695312,7.329104423522949,157.13955688476562,13.434974670410156,150.4119873046875,0.9822477698326111,403.16094970703125,0.14277797937393188,"1341,406,2373,2355,2332,1082,1851,2255,2740,2449,2108,718,1792,2589,24,1160",894.9783935546875,,,,,0,7.9930572509765625,76.12788391113281,5.004508972167969,72.751220703125,"0.107,0.120,0.121,0.177,0.058,0.100,0.037,0.090",1545.5289306640625,1070.80029296875,"1722,2107,1798,2702,544.7,1430,640.1,1422",12.045927047729492,12.155317306518555,"11.21,12.38,12.39,13.35,10.09,12.62,11.73,12.61","2.911,3.414,2.98,3.933,1.718,2.661,1.679,2.572","8.891,9.869,8.573,9.346,7.159,8.4,8.729,8.587",217,0.0215067807585001,472,0.12698090076446533,"1341,422,2222,1502,1560,1090,2521,2563",1.3025699853897095,0.2850341796875,0.32373046875,"5.43,2.43,2.74,2.04,2.93,1.76,2.28,1.73","6.94,2.42,2.19,1.72,1.7,1.44,1.21,1.09","-0.832,-0.271,0.467,0.0135,-0.424,-0.184,0.307,-0.21","-0.713,-0.475,0.475,0,-0.475,-0.238,0.238,-0.238","-0.713,-0.31,0.4,0,-0.363,-0.161,0.263,-0.21",0.83203125,0.7131696939468384,2,0.25193461775779724,0.926806628704071
1,v_proj,gptq,1024,3072,0,0.0021044413248697915,0.0014387766520182292,163.5892718492687,0.04056014688774339,407.7666931152344,256.5522766113281,3.198314666748047,15.001446723937988,5.65015983581543,12.984289169311523,0.9822477698326111,162.86961364746094,0.10903466492891312,"2740,2373,406,2449,2332,718,2019,1082,24,2355,2589,2255,1670,3069,2108,609",894.9783935546875,,,,,0,3.426454544067383,6.571593284606934,2.1014819145202637,6.730908393859863,"0.835,0.851,0.496,0.705,0.305,0.359,0.240,0.345",1545.5289306640625,1070.80029296875,"1722,2107,1798,2702,544.7,1430,640.1,1422",12.045927047729492,12.155317306518555,"11.21,12.38,12.39,13.35,10.09,12.62,11.73,12.61","2.042,2.251,2.03,2.474,1.053,1.689,1.1,1.662","2.234,2.44,2.883,2.947,1.905,2.821,2.245,2.829",98,0.014744877815246582,44,0.01986674591898918,"1341,422,2222,1502,1560,1090,2521,2563",0.6055141687393188,0.8955078125,0.9464111328125,"0.132,0.178,0.155,0.422,0.167,0.486,0.201,0.3","6.94,2.42,2.19,1.72,1.7,1.44,1.21,1.09","0.0015,0.000309,0.00439,4.22e-05,-0.000751,0.0159,-0.0109,0.0106","0,0,0,0,0,0,0,0.0516","0,0,0,0,0,0.0285,0,0",0.1904296875,0.21686097979545593,1,0.12781912088394165,0.025103483349084854
1,o_proj,gptq,3072,3072,0,0.0021045472886827257,0.001437928941514757,501.2939055586339,0.039753572307212964,1301.50390625,757.5254516601562,17.007293701171875,65.48722839355469,39.71044158935547,96.357421875,0.8428953886032104,499.1584167480469,0.058615248650312424,"2965,2921,2955,2954,591,2665,2709,683,2887,2901,617,3031,2959,2645,693,2958",188.2469024658203,,,,,0,31.124910354614258,77.07160949707031,13.325708389282227,36.25988006591797,"0.270,0.352,0.570,0.660,0.221,0.515,0.396,0.360",6122.587890625,1920.1220703125,"9574,1.112e+04,8818,8291,2053,4126,2643,2360",16.989381790161133,11.849883079528809,"24.66,21.86,17.04,17.37,13.99,14.78,13.55,12.66","6.513,6.572,6.531,7.111,3.148,5.187,4.319,3.835","12.53,11.09,8.651,8.755,6.699,7.229,6.867,6.394",2311,0.023918364197015762,2248,0.009087787009775639,"966,1478,802,1184,878,1314,2446,1390",0.9075210094451904,0.4413655698299408,0.4630534052848816,"1.63,1.69,2.02,1.11,1.71,1.69,1.65,1.97","2.38,2.11,2.11,1.97,1.95,1.93,1.87,1.8","-0.168,-0.0515,0.391,-0.0586,0.175,-0.0669,-0.0164,0.159","-0.117,0,0.384,-0.15,0.128,0,0,0.15","-0.188,-0.0497,0.335,0,0.223,-0.0488,-0.0205,0.146",0.75,0.6612376570701599,1,0.486794650554657,0.01563025824725628
1,gate_proj,gptq,23040,3072,0,0.002110629611545139,0.0015183484112774885,5255.058146530762,0.028459966715100943,16118.068359375,11333.017578125,179.87588500976562,2095.090576171875,374.71685791015625,2029.1904296875,0.9331088066101074,5236.9130859375,0.2791138291358948,"122,1851,2563,2222,2603,2521,1163,1382,1792,1841,632,654,406,2153,718,1082",863.4904174804688,,,,,0,240.50955200195312,935.171142578125,140.52423095703125,1064.6070556640625,"0.305,0.372,0.326,0.569,0.092,0.236,0.124,0.165",2468.4208984375,1592.0919189453125,"2574,3548,3110,3940,694.6,2395,1389,2097",11.328645706176758,11.853763580322266,"11.02,11,11.53,10.52,11.36,11.32,11.69,12.19","16.26,18.05,18.02,19.72,9.601,14.79,11.28,13.5","29.46,29.6,31.55,26.13,31.65,30.45,32.06,33.21",18988,0.002529156394302845,21914,0.001130784978158772,"122,2521,2222,2563,1851,1560,2603,104",0.7899584770202637,0.5093587636947632,0.5623752474784851,"22.3,18.9,13.9,16.6,13.1,8.93,14.3,8.93","5.38,2.53,2.52,2.47,1.58,1.2,1.05,1.04","0.0747,-0.52,-0.0781,0.237,0.129,0.119,0.243,0.0197","0,-0.445,-0.148,0.297,0.148,0.128,0.297,0","0.0541,-0.594,-0.0611,0.208,0.13,0.0982,0.208,0",0.51953125,0.4453125,1,0.48286518454551697,0.1163208857178688
1,up_proj,gptq,23040,3072,0,0.002090298687970197,0.0014945842601634838,2373.950741286855,0.019360033416215873,9445.0302734375,7160.9423828125,111.70933532714844,363.2564697265625,205.14306640625,394.8908996582031,0.9331088066101074,2370.93798828125,0.1168738454580307,"1851,122,2603,2563,2521,2222,1163,1382,1792,1841,632,406,654,2153,718,2655",863.4904174804688,,,,,0,128.71066284179688,220.42446899414062,81.47311401367188,195.45252990722656,"0.598,0.857,0.684,0.913,0.186,0.554,0.380,0.472",2468.4208984375,1592.0919189453125,"2574,3548,3110,3940,694.6,2395,1389,2097",11.328645706176758,11.853763580322266,"11.02,11,11.53,10.52,11.36,11.32,11.69,12.19","11.61,13.58,12.76,14.28,6.41,11.1,8.511,10.35","15.01,14.67,15.43,14.94,14.88,14.93,13.8,15.06",17575,0.008489307016134262,17575,0.00467728590592742,"122,2521,2222,2563,1851,1560,2603,104",0.4479905068874359,0.7727267742156982,0.8165527582168579,"1.28,1.73,1.08,1.34,1.77,4.8,2,4.42","5.38,2.53,2.52,2.47,1.58,1.2,1.05,1.04","-0.134,0.449,0.268,-0.34,-0.471,-0.174,0.112,-0.133","0,0.542,0.271,-0.542,-0.542,-0.284,0.271,0","-0.232,0.473,0.239,-0.408,-0.397,-0.232,0.204,-0.232",1.0625,1.2371119260787964,1,0.5905553102493286,1.0173426866531372
1,down_proj,gptq,3072,23040,0,0.002024572866934317,0.0014803568522135417,5698.639075703895,0.04751608898770525,11450.7138671875,7332.2890625,859.7769775390625,9567.427734375,46613.2734375,158554.46875,0.9996984601020813,3541.556640625,0.9946076273918152,"17415,17575,8015,6097,14862,15020,16056,11492,13385,1883,16234,8909,10758,12964,9623,17990",15693.1650390625,,,,,0,66519.890625,226879.90625,122.51382446289062,62.00619125366211,"0.420,2.125,1.027,1.619,0.217,3.413,1.813,1.847",1074.9468994140625,536.2420654296875,"3535,927.5,597.1,1178,421.3,815.1,606.7,519.2",928.3146362304688,13.243310928344727,"2912,17.56,14.46,19.65,4416,18.03,14.86,13.5","532.1,14.62,8.37,13.84,497.9,19.09,11.58,10.59","821.1,10.03,8.259,10.88,1068,10.33,8.599,7.793",2432,0.39227578043937683,2432,0.2948032021522522,"8015,17415,6097,10758,2000,2249,7833,18577",2.7526373863220215,0.3736165463924408,0.574462890625,"1.51,1.23,1.63,2.02,2.11,1.88,1.5,1.53","4.42e+03,42.5,5.22,2.67,2.45,2.42,2.38,2.34","0.914,0.361,0.311,-0.293,-0.75,0.314,0.283,-0.165","0.783,0.783,0.783,-1.04,-10.3,7.03,7.72,-6.18","0.783,0.31,0.266,-0.335,-0.643,0.27,0.243,-0.141",0.9140625,10.288169860839844,1,311.874267578125,579.8076171875
2,q_proj,gptq,3072,3072,0,0.0020461612277560765,0.0014585918850368923,752.0962459927541,0.035375089977864926,1993.582763671875,1328.665771484375,51.812042236328125,236.44772338867188,92.34563446044922,223.59677124023438,0.8875188231468201,750.30908203125,0.13994084298610687,"1382,1851,1131,1792,785,1163,1090,632,2724,1082,1659,2655,2815,654,1670,2108",326.1062927246094,,,,,0,50.50678253173828,96.7140121459961,37.789306640625,122.4052963256836,"0.289,0.857,0.610,0.715,0.514,0.441,0.268,0.354",1803.506591796875,1521.2431640625,"201.5,3317,2354,3228,192.6,1901,1423,1812",13.93623161315918,16.1356201171875,"8.633,15.38,15.64,16.44,7.576,15.27,16.11,16.43","3.258,9.633,8.296,9.484,3.963,6.943,5.753,6.698","6.061,10.4,10.62,11.22,5.529,10.46,11.11,11.25",351,0.008304210379719734,482,0.007698684930801392,"2432,422,2696,2427,1971,785,2248,2222",1.2393293380737305,0.4463297724723816,0.5223388671875,"5.04,1.97,1.62,1.9,2.66,2.98,2.19,1.87","4.81,4.31,2.41,1.7,1.44,1.33,0.934,0.883","0.0376,-0.0182,-0.0127,-0.0317,-0.0474,0.0771,-0.0018,-0.0101","0,0,0,0,-0.0661,0.131,0,0","0,0,0,-0.0603,0,0.067,0,0",0.45703125,0.4031732380390167,1,0.36110424995422363,0.12819860875606537
2,k_proj,gptq,1024,3072,0,0.002047856648763021,0.001461346944173177,241.08898620840046,0.03035117871655327,704.6396484375,469.9953918457031,17.967655181884766,91.07966613769531,31.04677391052246,82.72013854980469,0.8875188231468201,240.87142944335938,0.13041770458221436,"1382,1851,1131,1090,1792,785,1163,632,2724,1659,2655,2815,1082,2563,1670,654",326.1062927246094,,,,,0,16.918819427490234,35.784149169921875,12.986106872558594,44.81963348388672,"0.220,0.696,0.564,0.710,0.354,0.397,0.257,0.331",1803.506591796875,1521.2431640625,"201.5,3317,2354,3228,192.6,1901,1423,1812",13.93623161315918,16.1356201171875,"8.633,15.38,15.64,16.44,7.576,15.27,16.11,16.43","1.85,5.457,4.938,5.68,1.85,3.898,3.412,3.904","3.946,6.541,6.578,6.739,3.109,6.188,6.73,6.781",494,0.014220904558897018,607,0.022683508694171906,"2432,422,2696,2427,1971,785,2248,2222",1.196976661682129,0.365234375,0.42578125,"1.47,1.95,1.74,2.01,1.54,1.63,1.77,1.57","4.81,4.31,2.41,1.7,1.44,1.33,0.934,0.883","-0.00336,-0.0167,-0.0139,-0.0369,-0.0139,-0.0269,-0.0315,-0.0275","0,-0.0505,0,-0.0505,0,-0.0505,-0.0505,0","0,0,0,-0.0737,0,0,-0.0533,-0.0533",0.298828125,0.34621790051460266,1,0.2206442654132843,0.02310325764119625
2,v_proj,gptq,1024,3072,0,0.0020777384440104165,0.0014921824137369792,112.93710382304562,0.023784263973761433,388.5886535644531,275.9093322753906,9.765412330627441,32.319183349609375,15.955513000488281,29.455982208251953,0.8875188231468201,112.58723449707031,0.08484131842851639,"1382,1851,1131,1792,1163,632,2724,2655,1082,654,1659,2815,1670,2108,785,2740",326.1062927246094,,,,,0,8.41861629486084,13.253438949584961,6.788052558898926,16.141769409179688,"0.542,0.906,0.652,0.825,0.741,0.575,0.374,0.448",1803.506591796875,1521.2431640625,"201.5,3317,2354,3228,192.6,1901,1423,1812",13.93623161315918,16.1356201171875,"8.633,15.38,15.64,16.44,7.576,15.27,16.11,16.43","0.9289,3.958,3.313,3.976,1.049,2.942,2.489,2.842","1.262,4.159,4.104,4.377,1.219,3.881,4.07,4.245",795,0.016789976507425308,920,0.021573802456259727,"2432,422,2696,2427,1971,785,2248,2222",1.1798665523529053,0.8424072265625,0.9449462890625,"0.319,0.191,0.189,0.175,0.581,0.247,0.326,0.168","4.81,4.31,2.41,1.7,1.44,1.33,0.934,0.883","0.00298,0.00455,0.00345,0.005,0.0259,-0.0138,0.00403,0.00299","0,0,0,0.0413,0,0,0,0","0,0,0,0,0.0427,0,0,0",0.1669921875,0.16552947461605072,1,0.13594678044319153,0.024542342871427536
2,o_proj,gptq,3072,3072,0,0.0021297666761610243,0.001438564724392361,455.17444189636535,0.03397104198857037,1284.1455078125,783.6224975585938,18.23002052307129,54.16265869140625,41.9053840637207,59.852500915527344,0.6506050825119019,454.1549072265625,0.05727677792310715,"812,239,495,300,914,1170,751,613,1734,357,44,1426,101,1449,1059,1990",36.14753341674805,,,,,0,15.24057388305664,21.95574951171875,19.55466079711914,31.973007202148438,"0.062,0.260,0.900,0.848,0.122,0.868,0.768,0.674",2039.63232421875,2647.562255859375,"109.2,400.8,2579,3598,142.9,4232,2837,2418",8.875245094299316,10.84146499633789,"6.815,6.997,10.6,12.32,4.729,9.679,9.872,9.99","0.883,1.869,5.091,5.683,0.8511,4.459,4.505,4.304","3.545,3.664,5.366,6.173,2.433,4.786,5.141,5.244",92,0.019361179322004318,1090,0.017880339175462723,"2246,1990,1734,1426,1059,914,1170,803",1.8609031438827515,0.3794759213924408,0.3920491635799408,"1.44,2.39,1.52,1.3,1.82,1.98,1.92,2.05","1.14,1.13,1.12,0.93,0.93,0.914,0.887,0.828","0.0182,-0.0535,0.0386,-0.0294,-0.00513,-0.014,-0.002,-0.0281","0,0,0,0,0,0,0,0","0.0307,-0.0614,0.0311,-0.0321,0,0,0,-0.0318",0.4296875,0.3683035969734192,1,0.11843010038137436,0.031981803476810455
2,gate_proj,gptq,23040,3072,0,0.0020954979790581596,0.0015267972592954283,3936.7186595201492,0.024358843155468452,13577.001953125,10115.0859375,293.25762939453125,1675.22607421875,527.5845336914062,1273.8358154296875,0.9851346015930176,3915.277099609375,0.22708912193775177,"2222,122,1851,2603,1163,2563,1382,2248,2432,2153,1792,632,1841,223,654,2724",999.8126220703125,,,,,0,288.440673828125,486.05718994140625,222.693115234375,773.02490234375,"2.341,0.888,0.613,0.799,1.150,0.616,0.284,0.339",2078.74169921875,1837.509033203125,"142.1,3861,2742,3575,172.6,2244,1764,2129",9.660982131958008,11.943361282348633,"2.899,11.27,11.05,11.35,6.042,10.6,11.97,12.11","8.25,22.79,19.64,21.22,11.51,16.76,14.56,16.09","5.392,24.18,25.08,23.73,10.73,21.36,27.32,27.65",10858,0.0017997126560658216,11600,0.002200791146606207,"2432,1971,2222,422,2248,122,2390,1851",1.169075608253479,0.4645833373069763,0.5089138746261597,"6.48,7.99,13.6,13.8,11.9,20.5,9.65,11.7","5.66,1.27,1.2,0.668,0.648,0.246,0.216,0.215","-0.0688,-0.123,-0.334,0.0381,0.516,-0.0364,-0.0187,0.141","-0.147,-0.147,-0.295,0,0.442,0,0,0.147","-0.0533,-0.135,-0.295,0.0541,0.442,-0.0449,0,0.145",0.515625,0.4419642984867096,1,0.48829832673072815,0.0114740626886487
